codigo_publicacion,serie,numero,sku_tesoros,estado_sku_tesoros,estado_codigo,clave_sombra,titulo,autor,tipo,encuadernacion,paginas,interior,isbn_publicado,ean13_checksum_valido,isbn13_formato_valido,codigo_barras_ean13,nota_isbn,pvp_eur,fecha_catalogo,fuente_sombra,fuente_codigo,fuente_codex
B10,B,10,ALMEB10,esperado_por_patron,confirmado_codex,LM230B10,El Túmulo Perdido de Azgoz el Testarudo,vv.aa.,Suplemento,grapado color,16,A4 b/n,.,false,false,,Sin ISBN según Sombra,7.50,2021-03-18,https://dbsombra.com/index.asp?cod=LM230B10,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B11,B,11,ALMEB11,esperado_por_patron,confirmado_codex,LM231B11,Las Cuevas del Clan Atronador,Manuel Pietro Serrano,Suplemento,grapado color,20,A4 b/n,9787702211620,true,true,9787702211620,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,7.50,2021-04-30,https://dbsombra.com/index.asp?cod=LM231B11,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B12,B,12,ALMEB12,esperado_por_patron,confirmado_codex,LM235B12,El Monasterio del Dragón Dormido,Jose Francisco Asensi Noguera,Suplemento,grapado color,12,A4 b/n,9780201111620,true,true,9780201111620,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,7.50,2021-09-10,https://dbsombra.com/index.asp?cod=LM235B12,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B13,B,13,ALMEB13,esperado_por_patron,confirmado_codex,LM238B13,Sangre en la Nieve,Joaquín Blanes Garrido,Suplemento,grapado color,20,A4 b/n,9780201379228,true,true,9780201379228,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,7.50,2022-06-10,https://dbsombra.com/index.asp?cod=LM238B13,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B14,B,14,ALMEB14,esperado_por_patron,confirmado_codex,LM239B14,Vileza en el Bastión de los Bandidos,Hugo Gil,Suplemento,grapado color,32,A4 b/n,9788436836233,true,true,9788436836233,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,8.00,2022-06-10,https://dbsombra.com/index.asp?cod=LM239B14,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B15,B,15,ALMEB15,esperado_por_patron,confirmado_codex,LM248B15,Las Minas del Elefante,José Carlos Domínguez..,Suplemento,grapado color,24,A4 b/n,9780195014761,true,true,9780195014761,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,8.00,2023-09-22,https://dbsombra.com/index.asp?cod=LM248B15,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B16,B,16,ALMEB16,esperado_por_patron,confirmado_codex,LM249B16,La Pirámide del Faraón Negro,José Carlos Domínguez..,Suplemento,grapado color,24,A4 b/n,9780330291910,true,true,9780330291910,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,8.00,2023-09-22,https://dbsombra.com/index.asp?cod=LM249B16,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B17,B,17,ALMEB17,esperado_por_patron,confirmado_codex,LM247B17,El Búcaro de Alabastro,Miguel Ángel Muñoz,Suplemento,grapado color,28,A4 b/n,9780202739953,true,true,9780202739953,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,8.00,2023-06-16,https://dbsombra.com/index.asp?cod=LM247B17,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B18,B,18,ALMEB18,esperado_por_patron,confirmado_codex,LM250B18,La Perla de Ayakashi,Jorge Serrano Martín,Suplemento,grapado color,20,b/n A4,9780201279665,true,true,9780201279665,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,8.00,2023-11-10,https://dbsombra.com/index.asp?cod=LM250B18,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B19,B,19,ALMEB19,confirmado_tesoros,confirmado_codex,LM251B19,Agitando Pozasdemugre,Oriol García,Suplemento,grapado color,22,A4 b/n,9780201379655,true,true,9780201379655,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,7.50,2024-05-17,https://dbsombra.com/index.asp?cod=LM251B19,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B20,B,20,ALMEB20,esperado_por_patron,confirmado_codex,LM258B20,La Luz de Valion,Jose Francisco Asensi Noguera,Suplemento,grapado color,20,A4 b/n,9781230507897,true,true,9781230507897,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,8.00,2025-02-21,https://dbsombra.com/index.asp?cod=LM258B20,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B21,B,21,ALMEB21,esperado_por_patron,confirmado_codex,LM259B21,El Destino del Rey Mono,Jose Carlos Domínguez,Suplemento,grapado color,20,A4 b/n,9780001379626,true,true,9780001379626,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,8.00,2025-02-21,https://dbsombra.com/index.asp?cod=LM259B21,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B22,B,22,ALMEB22,esperado_por_patron,confirmado_codex,LM260B22,El Dios del Río,Julián Díaz Pérez,Suplemento,grapado color,16,A4 b/n,9780207779626,true,true,9780207779626,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,8.00,2025-03-28,https://dbsombra.com/index.asp?cod=LM260B22,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B23,B,23,ALMEB23,esperado_por_patron,confirmado_codex,LM262B23,La corona del Nigromante,Miguel Rodríguez,Suplemento,grapado color,24,A4 b/n,9781211319129,true,true,9781211319129,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,8.00,2025-05-09,https://dbsombra.com/index.asp?cod=LM262B23,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B24,B,24,ALMEB24,esperado_por_patron,confirmado_codex,LM265B24,La Niebla,José Francisco Asensi Noguera,Suplemento,grapado color,20,A4 b/n,9580261378625,true,false,9580261378625,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",8.00,2025-07-04,https://dbsombra.com/index.asp?cod=LM265B24,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B25,B,25,ALMEB25,esperado_por_patron,confirmado_codex,LM266B25,El Altar Impío,Manuel López Coloma,Suplemento,grapado color,52,A4 b/n,9780200370608,true,true,9780200370608,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,15.00,2025-08-29,https://dbsombra.com/index.asp?cod=LM266B25,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B26,B,26,ALMEB26,esperado_por_patron,confirmado_codex,LM270B26,La Arboleda de la Bruja Muerta,Ulises Martínez,Suplemento,grapado color,16,A4 b/n,9780201449013,true,true,9780201449013,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,8.00,2025-10-17,https://dbsombra.com/index.asp?cod=LM270B26,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B27,B,27,ALMEB27,esperado_por_patron,derivado_clave_sombra,LM271B27,Los Hijos del Viento,José Carlos de Diego Guerrero,Suplemento,grapado color,40,A4 b/n,9781111371234,true,true,9781111371234,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,15.00,2025-11-28,https://dbsombra.com/index.asp?cod=LM271B27,https://dbsombra.com/index.asp?cod=LM271B27,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B28,B,28,ALMEB28,esperado_por_patron,derivado_clave_sombra,LM272B28,El Callejón Inconstante,Miguel Ángel Muñoz.,Suplemento,grapado color,16,A4 b/n,-,false,false,,Sin ISBN según Sombra,9.00,2025-11-28,https://dbsombra.com/index.asp?cod=LM272B28,https://dbsombra.com/index.asp?cod=LM272B28,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B29,B,29,ALMEB29,esperado_por_patron,confirmado_codex,LM273B29,El Refugio Desmoronado,Miguel Ángel Muñoz.,Suplemento,grapado color,20,A4 b/n,9180201579619,true,false,9180201579619,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",9.00,2025-11-28,https://dbsombra.com/index.asp?cod=LM273B29,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B30,B,30,ALMEB30,esperado_por_patron,derivado_clave_sombra,LM274B30,La Balconada de Idhola,Manuel Prieto Serrato,Suplemento,grapado color,24,A4 b/n,9990209999629,true,false,9990209999629,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",10.00,2025-12-19,https://dbsombra.com/index.asp?cod=LM274B30,https://dbsombra.com/index.asp?cod=LM274B30,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B31,B,31,ALMEB31,esperado_por_patron,derivado_clave_sombra,LM279B31,Rituales Oscuros,Miguel Rofríguez,Suplemento,grapado color,24,A4 color,7780201979697,true,false,7780201979697,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",10.00,2026-02-13,https://dbsombra.com/index.asp?cod=LM279B31,https://dbsombra.com/index.asp?cod=LM279B31,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B32,B,32,ALMEB32,esperado_por_patron,derivado_clave_sombra,LM280B32,La Ciudad Olvidada,Manuel Martínez Martínez,Suplemento,grapado color,28,A4 b/n,6650201976655,true,false,6650201976655,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",12.00,2026-02-13,https://dbsombra.com/index.asp?cod=LM280B32,https://dbsombra.com/index.asp?cod=LM280B32,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B33,B,33,ALMEB33,esperado_por_patron,derivado_clave_sombra,LM281B33,El Tesoro del Capitán Flint,José Carlos Domínguez,Suplemento,"carpeta color, interior grapado",20,A4 b/n,9780000079008,true,true,9780000079008,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,14.00,2026-02-13,https://dbsombra.com/index.asp?cod=LM281B33,https://dbsombra.com/index.asp?cod=LM281B33,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B34,B,34,ALMEB34,esperado_por_patron,derivado_clave_sombra,LM282B34,La Mazmorra de Cimarruina,Anko Gómes Roncero,Suplemento,grapado color,28,A4 b/n,1180111379116,true,false,1180111379116,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",12.00,2026-02-13,https://dbsombra.com/index.asp?cod=LM282B34,https://dbsombra.com/index.asp?cod=LM282B34,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B35,B,35,ALMEB35,esperado_por_patron,derivado_clave_sombra,LM283B35,Un Apacible Descanso en el Paso del Vigilante,Manuel Prieto Serrato,Suplemento,grapado color,16,A4 b/n,9780223239234,true,true,9780223239234,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,9.00,2026-02-13,https://dbsombra.com/index.asp?cod=LM283B35,https://dbsombra.com/index.asp?cod=LM283B35,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B36,B,36,ALMEB36,esperado_por_patron,derivado_clave_sombra,LM284B36,El Monstruo de Torremuro,Manuel Prieto Serrano,Suplemento,grapado color,24,A4 b/n,9780999379622,true,true,9780999379622,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,12.00,2026-03-27,https://dbsombra.com/index.asp?cod=LM284B36,https://dbsombra.com/index.asp?cod=LM284B36,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B37,B,37,ALMEB37,esperado_por_patron,derivado_clave_sombra,LM285B37,Una Extraña Enfermedad,Miguel Romero Gómez «Lordrommer»,Suplemento,grapado color,20,A4 b/n,0700001368504,true,false,0700001368504,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",10.00,2026-03-27,https://dbsombra.com/index.asp?cod=LM285B37,https://dbsombra.com/index.asp?cod=LM285B37,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B38,B,38,ALMEB38,esperado_por_patron,derivado_clave_sombra,LM288B38,La Ruina de Cauceseco,Gonzalo García Martínez,Suplemento,grapado color,52,A4 b/n,9785432215994,true,true,9785432215994,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,15.00,2026-04-24,https://dbsombra.com/index.asp?cod=LM288B38,https://dbsombra.com/index.asp?cod=LM288B38,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B39,B,39,ALMEB39,esperado_por_patron,derivado_clave_sombra,LM289B39,El Hospicio Sangriento,Manuel López Coloma,Suplemento,grapado color,24,A4 b/n,9780881378887,true,true,9780881378887,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,10.00,2026-04-24,https://dbsombra.com/index.asp?cod=LM289B39,https://dbsombra.com/index.asp?cod=LM289B39,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B40,B,40,ALMEB40,esperado_por_patron,derivado_clave_sombra,LM290B40,La Fortaleza Maldita,Miguel Rodríguez,Suplemento,grapado color,28,A4 b/n,9787771377623,true,true,9787771377623,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,12.00,2026-04-24,https://dbsombra.com/index.asp?cod=LM290B40,https://dbsombra.com/index.asp?cod=LM290B40,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B41,B,41,ALMEB41,esperado_por_patron,derivado_clave_sombra,LM292B41,El Secuestro de Sintia,José Antonio Picos Ávila,Suplemento,grapado color,20,A4 b/n,9786666677626,true,true,9786666677626,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,10.00,2026-07-03,https://dbsombra.com/index.asp?cod=LM292B41,https://dbsombra.com/index.asp?cod=LM292B41,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
B42,B,42,ALMEB42,esperado_por_patron,derivado_clave_sombra,LM293B42,El Lazareto de Robleda,Pedro J. González,Suplemento,grapado color,20,A4 b/n,9660266375529,true,false,9660266375529,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",10.00,2026-05-29,https://dbsombra.com/index.asp?cod=LM293B42,https://dbsombra.com/index.asp?cod=LM293B42,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
BS1,BS,1,ALMEBS1,esperado_por_patron,confirmado_codex,LM224BS1,Bestiario de Criaturas Extraordinarias,vv. aa.,Suplemento,grapado color,28,A4 b/n,9789201009623,true,true,9789201009623,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,5.00,2020-11-09,https://dbsombra.com/index.asp?cod=LM224BS1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
C1,C,1,ALMEC1,esperado_por_patron,confirmado_codex,LM204C1,Los Salones Anegados de Leviatan,Luis F. «Tadevs»,Suplemento,grapado-color,32,b/n - A4,LM204C1,false,false,,Valor literal publicado por Sombra; no tiene formato ISBN/EAN-13,5.00,2017-01-25,https://dbsombra.com/index.asp?cod=LM204C1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
C2,C,2,ALMEC2,esperado_por_patron,confirmado_codex,LM209C2,La Catacumba de los Espantos de Kavaduz,Pedro Gil,Suplemento,grapado,40,b/n A4,LM209C2,false,false,,Valor literal publicado por Sombra; no tiene formato ISBN/EAN-13,6.00,2018-03-23,https://dbsombra.com/index.asp?cod=LM209C2,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
C3,C,3,ALMEC3,esperado_por_patron,confirmado_codex,LM218C3,El Jardín Negro,José Manue Palacios,Suplemento,rústica-color,24,b/n A4,.,false,false,,Sin ISBN según Sombra,7.00,2019-10-25,https://dbsombra.com/index.asp?cod=LM218C3,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
C4,C,4,ALMEC4,esperado_por_patron,confirmado_codex,LM236C4,La Cúpula de Huesos de Ixambel,Nacho Vega Matilla,Suplemento,grapado color,28,A4 b/n,9780201379625,false,false,,"Tiene prefijo ISBN 978/979, pero el checksum EAN-13 no es válido",7.50,2022-04-01,https://dbsombra.com/index.asp?cod=LM236C4,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
C5,C,5,ALMEC5,esperado_por_patron,derivado_clave_sombra,LM252C5,La Prueba de Lenzen,Jose Mariano Saez,Suplemento,grapado color,44,A4 b/n,9780201379626,false,false,,"Tiene prefijo ISBN 978/979, pero el checksum EAN-13 no es válido",9.00,2024-05-17,https://dbsombra.com/index.asp?cod=LM252C5,https://dbsombra.com/index.asp?cod=LM252C5,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
CC,CC,,,,derivado_clave_sombra,LM223CC,Cuaderno de Campaña (libro de notas DJ),Eneko Menica y Eneko Palencia,Suplemento,rústica-color,96 (6 bloques),b/n A5,.,false,false,,Sin ISBN según Sombra,7.00,2019-10-25,https://dbsombra.com/index.asp?cod=LM223CC,https://dbsombra.com/index.asp?cod=LM223CC,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
CL,CL,,,,derivado_clave_sombra,LM237CL,Las Esporas del Hongo Atribulado,Karl Stjernberg,Suplemento,grapado color,16,b/n A5,-,false,false,,Sin ISBN según Sombra,7.00,2022-05-20,https://dbsombra.com/index.asp?cod=LM237CL,https://dbsombra.com/index.asp?cod=LM237CL,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
CR,CR,,,,derivado_clave_sombra,LM200CR,Caja Roja Marca del Este,vv.aa.,Básico,caja cartoné color,192 (libro) + 50 (hojas PJ) + 3 cuerpos (pantalla),A4 b/n + color (pantalla),9785201379629,true,true,9785201379629,Formato ISBN-13/EAN-13 válido por checksum; no implica verificación registral,40.00,2022-02-18,https://dbsombra.com/index.asp?cod=LM200CR,https://dbsombra.com/index.asp?cod=LM200CR,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
CS,CS,,,,derivado_clave_sombra,LM255CS,Corona de sal,Tania Herrero,Suplemento,rústica color con solapas,120,color A5,LM255CS,false,false,,Valor literal publicado por Sombra; no tiene formato ISBN/EAN-13,25.00,2024-07-05,https://dbsombra.com/index.asp?cod=LM255CS,https://dbsombra.com/index.asp?cod=LM255CS,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
CT1,CT,1,ALMECT1,esperado_por_patron,confirmado_codex,LM227CT1,La Lágrima de Zurâh,Antonio Ramón Berbell Gonell,Suplemento,grapado color,32,A4 b/n,8580200071625,true,false,8580200071625,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",6.00,2020-11-09,https://dbsombra.com/index.asp?cod=LM227CT1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
CT2,CT,2,ALMECT2,esperado_por_patron,derivado_clave_sombra,LM276CT2,El Sello del Profeta,Antonio Ramón Berbell Gonell,Suplemento,grapado color,44,A4 b/n,1680201369619,true,false,1680201369619,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",22.00,2025-12-19,https://dbsombra.com/index.asp?cod=LM276CT2,https://dbsombra.com/index.asp?cod=LM276CT2,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
D1,D,1,ALMED1,esperado_por_patron,derivado_clave_sombra,LM275D1,Dioses y Clérigos,Juanmi Ferez (y otros autores),Suplemento,grapado color,48,A4 b/n,9770201079600,true,false,9770201079600,"EAN-13 válido por checksum, pero no tiene prefijo ISBN 978/979",15.00,2025-12-19,https://dbsombra.com/index.asp?cod=LM275D1,https://dbsombra.com/index.asp?cod=LM275D1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
E1,E,1,ALMEE1,esperado_por_patron,derivado_clave_sombra,LM211E1,El Legado Perdido (Crónicas Olvidadas),Diego Marqués Vega (Códice),Suplemento,grapado color,32 + mapa A3,b/n A4,.,false,false,,Sin ISBN según Sombra,8.00,2018-05-25,https://dbsombra.com/index.asp?cod=LM211E1,https://dbsombra.com/index.asp?cod=LM211E1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
ES1,ES,1,ALMEES1,esperado_por_patron,derivado_clave_sombra,LM226ES1,La Furia de Rastilon,Pedro Gil,Suplemento,grapado color,24 + 1 mapa A3 color,A4 b/n,.,false,false,,Sin ISBN según Sombra,7.00,2020-11-09,https://dbsombra.com/index.asp?cod=LM226ES1,https://dbsombra.com/index.asp?cod=LM226ES1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
G0,G,0,ALMEG0,esperado_por_patron,especial_gazetteer,LM200GZ,Gazetteer de la Marca del Este,Varios,Suplemento,caja,180 + pantalla + 15 mapas,b/n A4 (planos y exterior pantalla color),LM200GZ,false,false,,Valor literal publicado por Sombra; no tiene formato ISBN/EAN-13,40.00,2018-03-23,https://dbsombra.com/index.asp?cod=LM200GZ,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
G1,G,1,ALMEG1,esperado_por_patron,confirmado_codex,LM213G1,Un Paseo por el Campo,Pedro Gil,Suplemento,rústica-color en tríptico,36 + mapa color A3,b/n A4,.,false,false,,Sin ISBN según Sombra,10.00,2018-12-17,https://dbsombra.com/index.asp?cod=LM213G1,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
G2,G,2,ALMEG2,esperado_por_patron,confirmado_codex,LM219G2,Alameda,Santi Pastor,Suplemento,rústica-color,24 + mapa,b/n A4 + mapa A3 color,.,false,false,,Sin ISBN según Sombra,7.00,2019-10-25,https://dbsombra.com/index.asp?cod=LM219G2,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts,https://github.com/diacritica/codexlmde/tree/master/codex/content/es/posts
