codigo,titulo,nivel_min,nivel_max,personajes_min,personajes_max,sesiones,etiquetas,resumen,fichero,url
B1,Los Clonadores de Tavuun-17,1,,4,6,3,Exploración|Iniciación,Los clonadores de Tavuum-17 es una aventura de La Marca Estelar para personajes de nivel 1. Está pensada para ser la primera o segunda aventura de un nuevo grupo de personajes y es bastante fácil de introducir dentro de una campaña en curso,b1-los-clonadores-de-tavuun-17.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b1-los-clonadores-de-tavuun-17.md
B10,El túmulo perdido de Azgoz el testarudo,1,3,4,6,1,Dungeon,"Azgoz fue un valiente caballero paladín. Murió y fue enterrado en un túmulo cerca de la ciudad, en las Colinas Azules. El paradero de su tumba se perdió.",b10-el-tumulo-perdido-de-azgoz-el-testarudo.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b10-el-tumulo-perdido-de-azgoz-el-testarudo.md
B11,Las cuevas del Clan Atronador,1,2,4,5,2,Iniciación|Dungeon,"Esta es una aventura introductoria, perfecta para iniciar a jovenes jugadores y niños, con un formato clasico y sencillo emula las antiguas aventuras de antaño.",b11-las-cuevas-del-clan-atronador.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b11-las-cuevas-del-clan-atronador.md
B12,El Monasterio del Dragón Dormido,1,2,4,6,1,Exploración|Iniciación|Dragón|Templo,"Corren rumores en el pueblo sobre el viejo monasterio sobre la colina. No son pocos los que afirman que una enorme sierpe roja despertó de su letargo milenario para atacar las vetustas piedras antaño con su letal y poderosa arma de aliento flamígero. Algunos otros aseguran que el Dragón Rojo aún descansa en el oscuro interior de los ruinosos restos el enclave. Quizás todo ello no sean más que habladurías, pero la Marca precisa de valientes aventureros que arrojen luz sobre la historia.",b12-el-monasterio-del-dragon-dormido.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b12-el-monasterio-del-dragon-dormido.md
B13,Sangre en la Nieve,2,2,4,6,2,Exterior|Exploración|Investigación,"Esta aventura está diseñada para un grupo de 4 a 6 personajes de niveles iniciales. Permite al Narrador situar a los PJs en un lugar inhóspito y salvaje lejos de la civilización, ahíto de peligros y desafíos.",b13-sangre-en-la-nieve.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b13-sangre-en-la-nieve.md
B14,Vileza en el bastión de los bandidos,2,4,3,6,2,Fortaleza|Dungeon,"Esta aventura esta planteada por el autor, como un “plug and play” para que, el Narrador, la utilice a su gusto dentro de su campaña o bien de forma totalmente independiente.",b14-vileza-en-el bastion-de-los-bandidos.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b14-vileza-en-el%20bastion-de-los-bandidos.md
B15,Las minas del elefante,6,7,3,5,6,Dungeon|Exploración|Templo|Exterior,"Los aventureros han oído hablar de las antiguas Minas del Elefante, llenas a rebosar de esmeraldas, y han descubierto que cierto comerciante de Kalanga ha obtenido un mapa hasta Umba-koi, donde están las minas, después de que un blanco borracho se lo diera a cambio de un último trago. El mercader no termina de creer en su autenticidad, pero está dispuesto a venderlo al mejor postor.",b15-las-minas-del-elefante.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b15-las-minas-del-elefante.md
B16,La Pirámide del Faraón Negro,4,5,3,5,2,Dungeon|Templo|Reglamento,"Esta aventura está centrada en Neferu, la tierra de los faraones en Cirinea, donde los aventureros podrán saquear una antigua pirámide olvidada y las cámaras que se ocultan bajo ella.",b16-la-piramide-del-faraon-negro.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b16-la-piramide-del-faraon-negro.md
B17,El Búcaro de Alabastro,3,4,4,6,3,dungeon|exploración|templo,"Aventura que comienza en Urusal-din, la capital del califato de Visirtán, y llevará a los aventureros a una aldea perdida en el desierto de Eretria que esconde no pocos secretos.",b17-el-bucaro-de-alabastro.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b17-el-bucaro-de-alabastro.md
B18,La Perla de Ayakashi,1,2,4,6,2,Marítima,"Una aventura con un comienzo inusual, una situación compleja que obligará a los jugadores a buscar desesperadamente una escapatoria en su lucha por sobrevivir en condiciones de lo más adversas.",b18-la-perla-de-ayakashi.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b18-la-perla-de-ayakashi.md
B19,Agitando Pozasdemugre,1,3,4,6,4,Exploración|Investigación|Reglamento,Aventura introductoria que se desarrolla en el Gran Pantano. El autor propone una introducción al rol a traves de la exploración del mapa y la investigación de un misterio.,b19-agitando-pozasdemugre.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b19-agitando-pozasdemugre.md
B2,La isla misteriosa,4,6,4,6,1,Sandbox|Exploración|Isla,Aventura para niveles 4-6 donde los aventureros deberán explorar una misteriosa isla llena de peligros.,b2-la-isla-misteriosa.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b2-la-isla-misteriosa.md
B20,La Luz de Valion,2,3,4,6,3,Exploración|Iniciación,La Villa de los Cuervos está situada en la Marca del Oeste y es un tranquilo pueblo cuyos habitantes viven fundamentalmente del cultivo del campo. La calidad de sus cosechas esconde un secreto que está a punto de desvelarse.,b20-la-luz-de-valion.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b20-la-luz-de-valion.md
B21,El Destino del Rey Mono,1,3,3,5,3,Exploración|Templo|Reglamento,"El destino del Rey Mono es una aventura para el juego Aventuras en la Marca del Este, centrada en una isla cerca de las costas de Vankor (una región similar al Sudeste Asiático de nuestro mundo).",b21_el_destino_del_rey_mono.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b21_el_destino_del_rey_mono.md
B22,El Dios del  Río,2,4,4,6,3,Exploración|Templo|Reglamento,En el dios del río nuestros aventureros intentarán descubrir que misterio hay detrás de una estatua hallada por casualidad.,b22_el_dios_del_rio.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b22_el_dios_del_rio.md
B23,La corona del nigromante,4,6,4,6,3,Exploración|Fortaleza,"La fortaleza de Timecius Rocanegra es la custodia Corona del Nigromante. Cada año, el duque Timecius debe realizar un ritual para renovar las protecciones que rodean a la reliquia.",b23-la-corona-del-nigromante.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b23-la-corona-del-nigromante.md
B24,La Niebla,2,3,4,6,3,Investigación|Iniciación,"Aventura pensada para jugadores jóvenes, con poca experiencia en La Marca. Aunque jugadores adultos o experimentados también pueden disfrutar la experiencia.",b24-la-niebla.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b24-la-niebla.md
B25,El altar Impío,3,4,4,6,5,Investigación|Exploración|Reglamento,"Los personajes se verán envueltos en una maraña de intrigas palaciegas, en la que nada es lo que parece, y que los llevará a una misión poco menos que suicida.",b25-el-altar-impio.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b25-el-altar-impio.md
B26,La arboleda de la Bruja Muerta,4,6,4,6,3,Exploración|Investigación,Una aventura de rescate en la que los jugadores se enfrentarán a las fuerzas de la naturaleza.,b26-la-arboleda-de-la-bruja-muerta.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b26-la-arboleda-de-la-bruja-muerta.md
B27,Los Hijos del Viento,6,10,3,5,3,Exploración|Saja raja,"En el remoto reino de Shui, en la frontera del Imperio Kang, en el valle donde se asientan las imponentes montañas que lo rodean, ha despertado un mal ancestral que amenaza toda la región…",b27-los-hijos-del-viento.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b27-los-hijos-del-viento.md
B28,El callejón inconstante,2,4,2,4,1,Investigación|Oneshot,"Aventura en Virsistán, lugar mágico lleno de misterios y sorpresas.",b28-el-callejon-inconstante.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b28-el-callejon-inconstante.md
B29,El refugio desmoronado,4,6,4,6,3,Exploración|Investigación,La desaparición de un poderoso mago desencadenara una serie de sucesos en los que los aventureros se verán involucrados.,b29-el-refugio-desmoronado.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b29-el-refugio-desmoronado.md
B3,El Orbe de Amonhotep,5,6,4,6,2,Urbano|Investigación|Dungeon|Reglamento,"Una aventura para personajes de nivel 5-6 ambientada en la mítica región de Neferu, en Cirinea, donde nuestros aventureros deberán encontrar y explorar una mítica mastaba en busca del Orbe de Amonhotep.",b3-el-orbe-de-amonhotep.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b3-el-orbe-de-amonhotep.md
B5,Incursión a la Tierra del Dios Azul,4,5,4,5,3,Exploración|Investigación|Ciencia Fantasía|Reglamento,"Una estrella ha caído en el corazón de las estepas de las Tierras Nómadas y de ella ha empezado a extenderse una extraña jungla de hojas azules. Los animales mutan en sus cercanías, el cielo nocturno se llena de portentos y la gente tiene sueños y profecías nefandas.",b5-incursion-a-la-tierra-del-dios-azul.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b5-incursion-a-la-tierra-del-dios-azul.md
B6,Tiempo fuera del tiempo,2,4,3,5,2,Fortaleza|Investigación,"La vieja fortaleza de Dorman, perdida en las remotas vaguadas oscuras, más allá de las encrucijadas olvidadas, descansa imperturbable sumida en una maldición tan antigua como el tiempo, que pareciera haberse detenido entre las rocas negras y la hiedra seca de sus antaño orgullosas murallas. Quién sabe qué ignotos misterios y horrores aguardan en su interior.",b6-tiempo-fuera-del-tiempo.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b6-tiempo-fuera-del-tiempo.md
B7,Presentes sangrientos,2,4,4,5,2,Urbano|Exterior|Templo,Desde las altas tierras al norte de la Marca del Este hasta la lejana Nirmala y más allá un antiguo mal extiende sus hebras oscuras y pocos conocen su existencia. Sus acólitos buscan algo que bien podría estar en manos de nuestros aventureros. ¿Podrán los mismos encontrarlo a tiempo y malograr sus planes antes de que sea tarde?,b7-presentes-sangrientos.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b7-presentes-sangrientos.md
B8,La tumba de hielo,1,5,1,5,2,Fortaleza|Dragón|Oneshot,"Hace ahora seis años, el bastión enano de Martormenta sufrió un aciago destino cuando Dagobaris, un astuto dragón blanco, consiguió asaltar por la fuerza los salones y expulsar a los enanos del mismo. Los supervivientes fundaron el Campamento de los Desposeídos al pie del sendero que asciende hasta Martormenta, donde el jovencísimo Naen, el último de los Keroun, reúne fuerzas para acabar con el dragón y recuperar el legado de su familia.",b8-la-tumba-de-hielo.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/b8-la-tumba-de-hielo.md
C1,Los Salones Anegados de Leviatán,5,7,3,6,3,Competición|Dungeon|Marítima,"En los más profundo del oscuro y tempestuoso océano, aguardan los míticos Salones Anegados de Leviatán, ahítos de monstruos terribles, reliquias de otrora y riquezas más allá de lo imaginado.",c1-los-salones-anegados.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/c1-los-salones-anegados.md
C2,La catacumba de los espantos de Kavaduz,12,15,4,6,2,Competición|Dungeon|Ciencia Fantasía,"Escondida en las peligrosas vaguadas de las montañas de Cerrognoll, aguarda la llegada de intrépidos aventureros la vieja abadía de Kavadůz. Pues un gran mal ha anidado en su interior, en la más profunda oscuridad, amenazando con desencadenar un terrible mal sobre todo Valion.",c2-la-catacumba-de-los-espantos-de-kavaduz.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/c2-la-catacumba-de-los-espantos-de-kavaduz.md
C3,El Jardín Negro,6,10,1,5,2,Competición|Torreón|Exterior|Exploración,"Hace poco, una extraña floresta surgió al norte de la ciudad de Calamain, un amplio y oscuro laberinto de enredaderas, setos y espinos alrededor de una antigua almenara. De este Jardín Negro brotan todo tipo de monstruos que amenazan a los habitantes de la región. Las autoridades, desesperadas ya, buscan un grupo de aventureros corajudos dispuestos a arrostrar esta preternatural maldición.",c3-el-jardin-negro.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/c3-el-jardin-negro.md
C4,La cúpula de huesos de Ixambel,8,11,4,6,2,Competición|Exploración|Dungeon,"Las viejas sagas ungolitas, vetustas como el mismo tiempo, hablan de una terrible batalla entre las fuerzas de Valion y Zamordax que tuvo lugar más allá de las negras cumbres de oriente, en la Tundra de los Ancestros. Pero las consecuencias de aquel fragor de armas y almas aún perduran en la tierra maldita y, su legado, amenaza con inundar los páramos helados de una nueva oscuridad.",c4-la-cupula-de-huesos-de-ixambel.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/c4-la-cupula-de-huesos-de-ixambel.md
,Aventuras en la Marca del Este - Reglamento Básico (Caja Roja),,,,,,reglamento|caja-roja,"Bienvenidos a Aventuras de la Marca del Este. La Marca del Este es un mundo rebosante de aventuras, personajes de leyenda, monstruos, oscuras mazmorras, inexpugnables fortalezas y magia poderosa.",caja_roja.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/caja_roja.md
,Compendium de Reglas,,,,,,Reglamento,Este Compendio de Reglas añade opciones extra para el Reglamento de Aventuras en la Marca del Este.,compendium-de-reglas.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/compendium-de-reglas.md
,Compilación de tablas,,,,,,Reglamento,Recopilacion de las tablas incluidas en los reglamentos de Aventuras en la Marca del Este y Cronicas de la Marca del Este,compilacion-de-tablas.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/compilacion-de-tablas.md
,Corona de Sal,1,5,4,6,6,Templo|Terror|Exploración,"En lo mas profundo de un valle cubierto por sal, hay secretos esperando ser descubiertos.",corona-de-sal.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/corona-de-sal.md
,Crónicas de la Marca del Este,1,100,,,,reglamento|básico,"Bienvenidos a Crónicas de la Marca del Este. Con este reglamento se abre ante ti un mundo rebosante de aventuras, personajes épicos, monstruos temibles, peligrosas mazmorras, bastiones inexpugnables y magia poderosa.",cronicas-marca.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/cronicas-marca.md
CT1,La lágrima de Zurâh,3,4,4,5,3,Campaña|Urbano|Dungeon|Exploración,"Hace muchas lunas los Leones del Desierto secuestraron al decimotercer hijo del emir. El legendario gobernante de Palmira ha enviado a sus mejores hombres para recuperar a su hijo, comandados por el valeroso general Usamah Al-Zafir. Juntos deberán seguir la pista de los secuestradores, recorriendo el mar de huesos de Eretria, arrostrando peligros ignotos mientras descubren ruinas de otrora sepultadas en las arenas del tiempo.",ct1-la-lagrima-de-zurah.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/ct1-la-lagrima-de-zurah.md
,El Bosque Negro.,2,4,4,6,1,Oneshot|Exploración|Bosque|Selva,Oneshot trepidante para pasar una tarde con tus jugadores.,el-bosque-negro.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-bosque-negro.md
,El Tesoro de los Faraones (El Despertar 1),10,12,3,6,3,El Despertar|Campaña|Marítima,"Esta primera parte se desarrolla en La Marca del Este, donde los aventureros serán contratados por el antiguo secretario de un Barón de Robleda, para que le ayuden a encontrar un Tesoro oculto en tierras Neferís.",el-despertar-1-el-tesoro-de-los-faraones.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-despertar-1-el-tesoro-de-los-faraones.md
,El Templo del Desierto (El Despertar 2),10,12,3,6,3,El Despertar|Campaña|Templo,"En esta segunda parte, los aventureros continuarán su viaje en busca del tesoro que Balus, el contratante, les prometió que encontrarían en un lugar llamado Ta-Sekhet-Ma’at, conocido popularmente como El Templo del Desierto.",el-despertar-2-el-templo-del-desierto.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-despertar-2-el-templo-del-desierto.md
,La Venganza del Sacerdote (El Despertar 3),14,20,3,6,5,Campaña|Exploración|Templo|El Despertar,"Un antiguo mal ha despertado y sólo vosotros conocéis la verdad y puede que seáis los únicos capaces de impedirlo. El destino del mundo queda en vuestras manos… y si lográis salvarlo y sobrevivir, tal vez se os recompense como es debido.",el-despertar-3-la-venganza-del-sacerdote.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-despertar-3-la-venganza-del-sacerdote.md
,El Legado de Mushasi,5,5,4,4,2,Exterior|Exploración|Aldea,La vida de Miyamoto Mushasi ha sido tomada como inspiración de esta aventura y el diario que se menciona sería el libro que más tarde se convertiría en el libro de los cinco anillos.,el-legado-de-mushasi.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-legado-de-mushasi.md
,El Legado Perdido,1,2,3,4,2,Iniciación|Fortaleza|Exterior,"Hace décadas que los pescadores de Aguasmuertas atrapan algo más que peces cuando salen a faenar al pantano que moja sus orillas. A pesar de los años transcurridos desde la guerra de la reina loca, los cadáveres siguen apareciendo en el agua estancada, muchos de ellos animados por una vil nigromancia que les niega la paz de la muerte.",el-legado-perdido.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-legado-perdido.md
,El misterio de Baddon Roith,3,5,4,6,2,Dungeon|Torreón,"La fortaleza de Baddon Roith quedó destruida años atrás por el ataque de la horda orca pero su subterráneo aún se mantiene casi intacto. Ahora, cientos de años después de aquello, Baddon Roith es el epicentro de una serie de misteriosos sucesos. ¿Qué se esconde entre las ruinas de la antigua fortaleza?",el-misterio-de-baddon-roith.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-misterio-de-baddon-roith.md
,El oro de las quebradas,3,4,4,6,2,Investigación|Aldea,"Tomilí avanzaba despacio por el bosque, mientras maldecía su suerte por nacer minero “si fuera pescador esto no me ocurría, y además vendría lavado del mar...”.",el-oro-de-las-quebradas.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-oro-de-las-quebradas.md
,'El Páramo',2,4,4,6,3,Exploración|Investigación|Urbano|Exterior,'Una entretenida aventura que casi podrían considerarse una suma de varias en las que los aventureros tendrán que ir correteando de un lado a otro resolviendo las diferentes misiones impuestas.',el-paramo.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-paramo.md
,El Pueblo Bendecido,4,6,3,5,1,Investigación|Aldea|Oneshot,"La aldea bendita, qué sabe la gente de ella.",el-pueblo-bendecido.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-pueblo-bendecido.md
,El Pueblo,0,0,3,4,1,Saja raja|Oneshot|Dungeon,Una aventura introductoria para niveles 0,el-pueblo.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-pueblo.md
,El Santuario olvidado,2,3,2,4,1,Iniciación|Oneshot|Templo,,el-santuario-olvidado.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-santuario-olvidado.md
,El Signo Rojo,2,4,3,5,1,Investigación|Oneshot|Urbano,"Un niño elegido para evitar una catástrofe, una sociedad secreta con la misión de evitar esta catástrofe, un paladín caído deseando recuperar el favor de su dios...",el-signo-rojo.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-signo-rojo.md
,El Soberano Incapaz,3,4,3,4,3,El Valle del Dios Astado|Campaña|Dungeon|Exploración,"El Soberano Incapaz es tan solo la primera parte de una campaña titulada 'El Valle del dios astado' para la Marca del Este, inspirado en el cómic 'La Espada Salvaje de Conan'.",el-soberano-incapaz.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-soberano-incapaz.md
,El Templo del Dios Prohibido,3,5,2,4,2,exploración|dungeon|templo,"La búsqueda de una cura milagrosa, llevara a los aventureros a adentrarse en un antiguo templo, donde pondrán a prueba sus habilidades para sobrevivir.",el-templo-del-dios-prohibido.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-templo-del-dios-prohibido.md
,El Tesoro de Caliope,1,2,3,5,1,Oneshot|Dungeon|Iniciación,"Primera aventura (esperemos de muchas) de la joven autora Caliope Iparraguirre, que tutorizada por su padre, nos muestra su opera prima.",el-tesoro-de-caliope.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-tesoro-de-caliope.md
,El Tesoro del Torreón Negro,1,2,5,6,1,Torreón|Oneshot,"Una aventura para Aventuras en la Marca del Este, escrita por José Francisco Riera, en la que un abandonado torreón resultará no estar tan abandonado.",el-tesoro-del-torreon-negro.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-tesoro-del-torreon-negro.md
,El Túmulo del Rey Orco,3,4,4,4,2,Investigación|Bosque|Selva|Exterior|Dungeon|Oneshot,"La trama gira en torno al asalto a una caravana visirtaní en los territorios del Gran Pantano. Está pensada para jugarla ya sea de forma independiente o bien como parte de uno de los encuentros opcionales del módulo Planes Oscuros, la cual inspiró la misma.",el-tumulo-del-rey-orco.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-tumulo-del-rey-orco.md
,El último viaje de “El Condenado”,6,8,5,6,1,Investigación|Aldea|Exterior|Marítima,Los habitantes de la pequeña aldea pesquera de Peñahogado están atravesando un mal año. Otra vez.,el-ultimo-viaje-de-el-condenado.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-ultimo-viaje-de-el-condenado.md
,El valle de los Unicornios.,3,4,4,5,2,Torreón|Exploración,"Tras la cascada conocida como el Salto del Pardo, se esconde un portal a un valle secreto, en el que reina la paz y la magia, pero pronto eso esta a punto de acabar. ¿Podran los PJs detener los malvados planes de un mago ambicioso y restaurar la paz del valle?",el-valle-de-los-unicornios.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el-valle-de-los-unicornios.md
,El Castillo de Piedra Negra,9,11,4,5,2,Fortaleza|Exterior,"Un poder retenido en el castillo de piedra Negra es liberado de manera inconsciente, y nuestros aventureros se verán obligados a usar todo su ingenio y habilidades para salir con vida de esta aventura.",el_castillo_de_piedra_negra.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el_castillo_de_piedra_negra.md
,El dédalo de la casa Syldi,5,7,4,6,2,Dungeon|Xorandor,"Enclavado en lo profundo del mundo, se alza un nefando laberinto creado por las retorcidas mentes de los elfos oscuros.",el_dedalo_de_la_casa_syldi.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el_dedalo_de_la_casa_syldi.md
,El Enclave,1,3,4,5,4,Campaña|La Orden del Libro,"Sumérgete en esta trepidante serie de aventuras que te llevará a explorar los rincones más insospechados de Robleda. Forma parte de la Orden del Libro, una organización de pensadores, científicos y hechiceros que aglutina a un sin fin de mentes brillantes, volcadas en el servicio a sus conciudadanos. Enfréntate a la incomprensión y el odio de aquellos que no son capaces de comprender la verdad. Y busca tu lugar en un mundo que te teme y odia a partes iguales.",el_enclave.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el_enclave.md
,El Espectro de las tormentas,3,4,4,5,3,Marítima|Exploración|Vermigor,"Una aventuras maritima con dosis de misterio, intriga y un viaje inesperado donde los peligros sobrenaturales se suceden.",el_espectro_de_las_tormentas.md,https://github.com/diacritica/codexlmde/blob/master/codex/content/es/posts/el_espectro_de_las_tormentas.md
